fov,cellID,x_local_px,y_local_px,x_global_px,y_global_px
1,367,246,836,171646,12177.6666666667
1,367,249,835,171649,12176.6666666667
1,367,257,831,171657,12172.6666666667
1,367,267,821,171667,12162.6666666667
1,367,294,770,171694,12111.6666666667
1,367,294,766,171694,12107.6666666667
1,367,283,757,171683,12098.6666666667
1,367,240,728,171640,12069.6666666667
1,367,214,724,171614,12065.6666666667
1,367,202,724,171602,12065.6666666667
1,367,199,725,171599,12066.6666666667
1,367,191,729,171591,12070.6666666667
1,367,169,751,171569,12092.6666666667
1,367,149,775,171549,12116.6666666667
1,367,145,783,171545,12124.6666666667
1,367,144,786,171544,12127.6666666667
1,367,144,802,171544,12143.6666666667
1,367,145,805,171545,12146.6666666667
1,367,155,815,171555,12156.6666666667
1,367,171,823,171571,12164.6666666667
1,367,174,824,171574,12165.6666666667
1,367,234,836,171634,12177.6666666667
1,368,406,828,171806,12169.6666666667
1,368,409,827,171809,12168.6666666667
1,368,419,817,171819,12158.6666666667
1,368,439,777,171839,12118.6666666667
1,368,444,762,171844,12103.6666666667
1,368,444,750,171844,12091.6666666667
1,368,440,734,171840,12075.6666666667
1,368,439,732,171839,12073.6666666667
1,368,418,698,171818,12039.6666666667
1,368,409,689,171809,12030.6666666667
1,368,406,688,171806,12029.6666666667
1,368,386,688,171786,12029.6666666667
1,368,383,689,171783,12030.6666666667
1,368,359,701,171759,12042.6666666667
1,368,341,719,171741,12060.6666666667
1,368,333,735,171733,12076.6666666667
1,368,332,738,171732,12079.6666666667
1,368,332,778,171732,12119.6666666667
1,368,333,781,171733,12122.6666666667
1,368,341,797,171741,12138.6666666667
1,368,351,807,171751,12148.6666666667
1,368,363,815,171763,12156.6666666667
1,368,387,827,171787,12168.6666666667
1,368,390,828,171790,12169.6666666667
1,370,10,824,171410,12165.6666666667
1,370,13,823,171413,12164.6666666667
1,370,27,809,171427,12150.6666666667
1,370,32,794,171432,12135.6666666667
1,370,36,770,171436,12111.6666666667
1,370,36,762,171436,12103.6666666667
1,370,31,747,171431,12088.6666666667
1,370,27,739,171427,12080.6666666667
1,370,13,725,171413,12066.6666666667
1,370,10,724,171410,12065.6666666667
1,370,6,724,171406,12065.6666666667
