fov,cell_ID,x_global_px,y_global_px,x_local_px,y_local_px,z,target,CellComp
1,0,173327.15,15420.6416666667,1927.15,4078.975,0,Cryab,None
1,0,173325.01,15328.3296666667,1925.01,3986.663,0,Cpe,Nuclear
1,0,173322.73,15324.7996666667,1922.73,3983.133,0,Bsg,Nuclear
1,0,173269.23,15013.6416666667,1869.23,3671.975,0,Spp1,None
1,0,173270.17,15012.5666666667,1870.17,3670.9,0,Apod,None
1,0,173251.76,14984.7036666667,1851.76,3643.037,0,Ambra1,None
1,0,171633.45,14882.4416666667,233.45,3540.775,0,Tardbp,Nuclear
1,0,171552.78,14871.6466666667,152.78,3529.98,0,Ctsd,Nuclear
1,0,171594.275,14870.6166666667,194.275,3528.95,0,Ifngr2,Nuclear
1,0,172989.32,14390.0266666667,1589.32,3048.36,0,Cd81,Nuclear
1,0,175073.72,14374.4066666667,3673.72,3032.74,0,Calm3,Nuclear
1,0,172628.37,14335.0966666667,1228.37,2993.43,0,Stxbp1,None
1,0,172639.05,14334.7066666667,1239.05,2993.04,0,Snrpn,None
1,0,172609.4,14333.6266666667,1209.4,2991.96,0,Malat1,Membrane
1,0,172600.86,14321.5466666667,1200.86,2979.88,0,Dync1li2,None
1,0,171478,14007.4666666667,78,2665.8,0,Gnai1,Nuclear
1,0,171486.18,13980.8266666667,86.18,2639.16,0,Hnrnpa2b1,Nuclear
1,0,171485.8333,13978.4866666667,85.8333,2636.82,0,Nbea,Nuclear
1,0,172735.36,13851.6066666667,1335.36,2509.94,0,Bsg,Nuclear
1,0,172721.4,13848.5866666667,1321.4,2506.92,0,Plcb4,Nuclear
1,0,172711.28,13843.0966666667,1311.28,2501.43,0,Galr2,Nuclear
1,0,172712.03,13842.6366666667,1312.03,2500.97,0,Galr2,Nuclear
1,0,172719.25,13755.5466666667,1319.25,2413.88,0,Tusc3,Nuclear
1,0,174717.42,13342.7366666667,3317.42,2001.07,0,Hipk2,Nuclear
1,0,174710.03,13337.8166666667,3310.03,1996.15,0,Ncor2,None
1,0,174715.92,13337.8066666667,3315.92,1996.14,0,Cpe,None
1,0,174706.53,13337.4166666667,3306.53,1995.75,0,Nrgn,None
1,0,174706.76,13333.4466666667,3306.76,1991.78,0,Grm7,None
1,0,174702.96,13332.8366666667,3302.96,1991.17,0,Snap25,None
1,0,174705.81,13332.3866666667,3305.81,1990.72,0,Tmsb4x,None
1,0,174703.57,13330.0966666667,3303.57,1988.43,0,Cox6c,None
1,0,174660.05,13190.6866666667,3260.05,1849.02,0,Trip12,Nuclear
1,0,175006.69,13186.4266666667,3606.69,1844.76,0,Higd1b,Nuclear
1,0,175006.2,13185.4166666667,3606.2,1843.75,0,Higd1b,Nuclear
1,0,175002.32,13184.8666666667,3602.32,1843.2,0,Psmd14,Nuclear
1,0,174669.83,13182.1866666667,3269.83,1840.52,0,Apoe,Nuclear
1,0,175006.58,13181.8866666667,3606.58,1840.22,0,Cdc27,Nuclear
1,0,174658.98,13176.2866666667,3258.98,1834.62,0,Galr3,Nuclear
1,0,174991.69,13172.1066666667,3591.69,1830.44,0,Sema6d,Nuclear
1,0,174665.73,13171.9166666667,3265.73,1830.25,0,Mfge8,Nuclear
1,0,174659.4,13170.2666666667,3259.4,1828.6,0,Pou2f1,Nuclear
1,0,174660.2,13169.8966666667,3260.2,1828.23,0,Pou2f1,Nuclear
1,0,174985.99,13160.1066666667,3585.99,1818.44,0,Fus,Nuclear
1,0,174975.77,13157.5966666667,3575.77,1815.93,0,Wdr59,Nuclear
1,0,174971.05,13147.8566666667,3571.05,1806.19,0,Rps9,Nuclear
1,0,174983.68,13147.0666666667,3583.68,1805.4,0,Srgn,Nuclear
1,0,174953.9,13039.1966666667,3553.9,1697.53,0,Selenow,Nuclear
1,0,174956,13038.5166666667,3556,1696.85,0,Plp1,Nuclear
1,0,174744.38,13015.7666666667,3344.38,1674.1,0,Aplp2,Nuclear
1,0,174717.8,12977.2866666667,3317.8,1635.62,0,Bsg,None
1,0,172575.53,12967.6966666667,1175.53,1626.03,0,Calm2,Nuclear
1,0,172563.49,12965.9366666667,1163.49,1624.27,0,Malat1,Nuclear
1,0,174687.62,12963.0066666667,3287.62,1621.34,0,Vim,None
1,0,174639.02,12957.6466666667,3239.02,1615.98,0,Pros1,None
