,Comt,Ldha,Pck1,Akr1a1,Ugt2b1,Acsl5,Ugt2a3,Igf1,Errfi1,Serping1,Adh4,Hsd17b2,Tpi1,Cyp1a2,Acsl1,Akr1d1,Alas1,Aldh7a1,G6pc,Hsd17b12,Pdhb,Gpd1,Cyp7b1,Pgam1,Hc,Dld,Cyp2c23,Proz,Acss2,Psap,Cald1,Hsd3b3,Galm,Cxcl12,Sardh,Cebpa,Aldh3a2,Gck,Sdc1,Pdha1,Npc2,Hsd17b6,Aqp1,Adh7,Smpdl3a,Egfr,Pgm1,Fasn,Ctsc,Abcb4,Fyb,Alas2,Gpi1,Fech,Lsr,Psmd3,Gm2a,Pabpc1,Cbr4,Tkt,Tmem56,Eif3f,Cxadr,Srd5a1,Cyp2c55,Gnai2,Gimap6,Hsd3b2,Grn,Rpp14,Csnk1a1,Egr1,Mpeg1,Acsl4,Hmgb1,Mpp1,Lcp1,Plvap,Aldh1b1,Oxsm,Dlat,Csk,Mcat,Hsd17b7,Epas1,Eif3a,Nrp1,Dek,H2afy,Bpgm,Hsd3b6,Dnase1l3,Serpinh1,Tinagl1,Aldoc,Cyp2c38,Dpt,Mrc1,Minpp1,Fgf1,Alcam,Gimap4,Cav2,Eng,Adgre1,Shisa5,Csf1r,Esam,Unc93b1,Cnp,Clec14a,Kdr,Adpgk,Gca,Pkm,Mkrn1,Sdc3,Acaca,Gpr182,Bmp2,Tfrc,Timp3,Calcrl,Pfkl,Wnt2,Cybb,Icam1,Cdh5,Sgms2,Cd48,Stk17b,Tubb6,Vcam1,Hgf,Ramp1,Arsb,Pld4,Smarca4,Fstl1,Pfkm,Lhfp,Lmna,Cd300lg,Laptm5,Timp2,Slc25a37,Fzd7,Lyve1,Acacb,Cyp1a1,Eno3,Cd83,Epcam,Ltbp4,Pgm2,Mertk,Pth1r,Itga2b,Kctd12,Srd5a3,Bmp5,Pecam1,G6pc3,Cyp17a1,Stab2,Cygb,Col1a2,Nid1,Cd44,Ctnnal1,Ephb4,Elk3,Foxq1,Cxcl14,Fzd4,Itgb2,Tcf7,Srd5a2,Aldh3b1,Flt4,Selp,Rbpj,Ep300,Rhoj,Fzd1,Tcf7l2,Ssh2,Col6a1,Notch2,Tcf4,Tek,Trim47,Tent5c,Ncf1,Lepr,Pck2,Lmnb1,Selplg,Myh10,Aldoart1,Podxl,Kitl,Tcf3,Tspan13,Dll4,Fzd8,Lad1,Procr,Ccr2,Akr1c18,Maml1,Ms4a1,Hk3,Bcam,Fzd5,Dkk3,Bank1,Itgal,Pgam2,Axin2,Pfkp,Meis2,Jag1,Gimap3,Rassf4,Notch1,Cd93,Tet2,Tcf7l1,Cd34,Hvcn1,Mal,Itgb7,Wnt4,Kit,Gapdhs,Kcnj16,Tnfrsf13c,Hk1,Pdgfra,Apobec3,Slc34a2,Vav1,Lamp3,Meis1,Lck,Efnb2,Notch4,Klrb1c,Angpt2,Vwf,E2f2,Ccr1,Angpt1,B4galt6,Cyp21a1,Pdpn,Dll1,Ammecr1,Csf3r,Ndn,Fgf2,Runx1,Mpl,Mecom,Itgam,Hoxb4,Tox,Prickle2,Acss1,Cyp2b9,Aldh3a1,Bmp7,Gata2,Il7r,Satb1,Sfrp1,Eno2,Mrvi1,Mki67,Nes,Tmod1,Ace,Gfap,Tgfb2,Tomt,Flt3,Sult2b1,Hkdc1,Notch3,Cdh11,Il6,Hk2,Mmrn1,Vangl2,Pou2af1,Hoxb5,Jag2,Aldh3b2,Gypa,Lrp2,Lef1,Olr1,Lox,Txlnb,Slc12a1,Aldh3b3,Cxcr2,Nkd2,Sult1e1,Acsl6,Ddx4,Ldhc,Kcnj1,Acsbg1,Fzd3,F13a1,Hsd11b2,Dkk2,Hsd17b1,Fzd2,Cyp2b23,Eno4,Celsr2,Obscn,Slamf1,Akap14,Gnaz,Cd177,Tet1,Cspg4,Aldoart2,Cyp2b19,Ryr2,Ldhal6b,Acsf3,Chodl,Ivl,Cyp11b1,Sfrp2,Dkk1,Cyp11a1,1700061G19Rik,Acsbg2,Olah,Pdha2,Hsd17b3,Blank-0,Blank-1,Blank-2,Blank-3,Blank-4,Blank-5,Blank-6,Blank-7,Blank-8,Blank-9,Blank-10,Blank-11,Blank-12,Blank-13,Blank-14,Blank-15,Blank-16,Blank-17,Blank-18,Blank-19,Blank-20,Blank-21,Blank-22,Blank-23,Blank-24,Blank-25,Blank-26,Blank-27,Blank-28,Blank-29,Blank-30,Blank-31,Blank-32,Blank-33,Blank-34,Blank-35,Blank-36,Blank-37
103327291694389284070574461648020091166,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,6,0,11,0,1,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,11,0,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105028411815552368766949841604861213395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107334985627684286897728970662988248140,19,26,26,10,3,7,18,9,19,33,1,11,6,11,60,10,19,12,5,7,2,13,0,5,29,2,3,39,35,2,53,12,1,32,22,39,39,14,5,9,2,0,0,0,3,12,8,113,0,16,0,0,3,7,3,13,15,17,0,4,4,4,5,0,0,10,0,2,1,2,9,0,0,2,0,1,3,0,0,2,2,2,0,7,18,19,1,6,9,0,0,0,1,1,0,2,0,0,2,3,1,0,0,0,0,0,1,0,1,0,0,0,0,2,1,2,1,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,9,0,0,0,1,0,1,3,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,0,3,1,0,0,3,0,1,4,0,0,3,0,0,0,0,0,0,1,0,0,3,2,0,0,0,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,19,0,1,0,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0
116035032804455615061806604690343149440,1,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118414953224566788702908374446885355289,8,9,29,9,4,5,11,7,25,18,6,4,5,1,28,10,2,11,6,3,3,8,1,5,11,5,4,19,13,2,28,4,1,8,7,18,18,9,5,5,0,3,0,0,2,9,3,103,2,4,0,1,5,4,2,0,10,15,1,6,0,0,1,1,0,2,0,1,1,1,7,1,0,4,0,0,0,0,0,0,3,1,1,3,17,9,0,4,8,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
118933511059523931392901179565247813777,1,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119180503160548155573121502265808115227,0,0,3,1,1,0,1,0,3,4,0,0,1,2,7,1,2,4,1,1,0,0,0,0,1,0,1,2,2,0,1,1,1,0,5,2,1,1,1,1,0,0,0,0,0,2,0,5,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120647369584588323833012382458008788779,1,0,6,1,1,0,0,1,2,3,0,2,3,0,2,0,0,3,1,0,1,0,0,0,2,0,0,3,2,0,4,0,1,0,2,1,0,0,2,0,0,0,1,0,0,2,1,4,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122134425713074553079042705397168896572,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122409274328403365477787900318416867446,10,6,97,13,8,1,21,17,48,34,3,11,19,2,42,13,12,21,17,10,1,10,0,7,37,1,13,31,13,0,28,3,2,23,23,28,3,5,8,5,0,6,0,0,2,20,4,42,5,9,0,0,4,8,4,5,6,16,0,11,5,0,1,6,0,2,0,2,1,0,7,0,0,0,0,3,2,0,4,1,2,3,2,3,12,8,2,5,3,1,0,1,0,0,0,0,0,0,4,3,1,0,0,1,0,1,0,0,0,1,0,0,2,1,1,0,1,11,1,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,1,3,0,1,0,2,2,0,0,0,2,2,1,0,1,0,0,0,0,0,2,1,0,0,0,2,0,1,0,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,2,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
