barcode_id,global_x,global_y,global_z,x,y,fov,gene,transcript_id
13,2511.0315,-62.403477,3,1004.44086,422,0,Cyp1a2,ENSMUST00000034860
47,2433.1882,-32.88437,5,283.6719,695.3251,0,Fasn,ENSMUST00000206589
53,2463.529,-25.745842,6,564.604,761.42255,0,Fech,ENSMUST00000025484
33,2511.3218,-22.442125,6,1007.1292,792.0125,0,Cxcl12,ENSMUST00000112866
26,2422.9639,-18.206198,5,189,831.2341,0,Cyp2c23,ENSMUST00000026211
25,2548.701,-16.236963,6,1353.2324,849.4677,0,Dld,ENSMUST00000110857
129,2611.3132,-19.851475,5,1932.9773,816,0,Cd48,ENSMUST00000068584
17,2546.148,-20.479422,4,1329.5953,810.18567,0,Aldh7a1,ENSMUST00000066208
9,2492.2908,83.278755,1,830.9168,1770.9095,0,Serping1,ENSMUST00000023994
24,2428.0166,-4.569643,3,235.7849,957.4984,0,Hc,ENSMUST00000028233
266,2603.579,-54.804085,1,1861.3647,492.36472,0,Hoxb4,ENSMUST00000049241
12,2496.8584,-92.500084,0,873.2101,143.3277,0,Tpi1,ENSMUST00000172132
115,2474.0938,-69.72811,5,662.42523,354.1793,0,Mkrn1,ENSMUST00000031985
114,2529.087,-79.72062,5,1171.6211,261.6561,0,Pkm,ENSMUST00000034834
27,2597.6816,42.178776,6,1806.7576,1390.3541,0,Proz,ENSMUST00000033822
8,2427.381,86.12706,5,229.90141,1797.2827,0,Errfi1,ENSMUST00000030811
55,2447.4524,-30.92744,3,415.7458,713.44476,0,Psmd3,ENSMUST00000017365
33,2547.6948,79.88596,0,1343.9163,1739.4948,0,Cxcl12,ENSMUST00000112866
49,2512.999,-86.09722,4,1022.66095,202.61345,0,Abcb4,ENSMUST00000003717
270,2507.5278,-62.025337,6,972,425.50128,0,Cyp2b9,ENSMUST00000082214
31,2418.0986,-53.561363,0,143.95341,503.87143,0,Hsd3b3,ENSMUST00000125483
35,2499.2373,-75.23857,6,895.2358,303.15656,0,Cebpa,ENSMUST00000042985
8,2439.4805,56.567535,1,341.93338,1523.5834,0,Errfi1,ENSMUST00000030811
85,2522.069,-96.650154,6,1106.6425,104.901115,0,Eif3a,ENSMUST00000025955
83,2469.4749,-62.46747,4,619.65765,421.40747,0,Hsd17b7,ENSMUST00000027989
159,2439.6208,-30.948645,5,343.2317,713.2484,0,Srd5a3,ENSMUST00000031143
17,2493.6912,-39.507477,6,843.88257,634,0,Aldh7a1,ENSMUST00000066208
322,2442.6672,77.92289,0,371.4404,1721.3181,0,Eno4,ENSMUST00000200910
275,2583.7842,23.302895,0,1678.0782,1215.5775,0,Satb1,ENSMUST00000133574
74,2562.293,50.544514,4,1479.0846,1467.8147,0,Hmgb1,ENSMUST00000085546
16,2428.8337,-3.5305748,2,243.35217,967.11945,0,Alas1,ENSMUST00000134053
270,2420.8408,-21.215324,5,169.34244,803.37177,0,Cyp2b9,ENSMUST00000082214
8,2599.8682,26.417072,5,1827.0033,1244.4125,0,Errfi1,ENSMUST00000030811
41,2451.3247,76.56144,3,451.60193,1708.7122,0,Hsd17b6,ENSMUST00000026462
325,2567.5815,94.55357,0,1528.0525,1875.306,0,Slamf1,ENSMUST00000015460
47,2419.1372,-6.057102,6,153.5688,943.72565,0,Fasn,ENSMUST00000206589
18,2509.8982,-62.691925,5,993.9477,419.32916,0,G6pc,ENSMUST00000019469
2,2594.736,35.812153,5,1779.4839,1331.4039,0,Pck1,ENSMUST00000029017
47,2467.8071,-64.986206,4,604.21643,398.08585,0,Fasn,ENSMUST00000206589
7,2547.1516,-24.628588,0,1338.8873,771.76746,0,Igf1,ENSMUST00000122100
47,2498.106,-94.28568,6,884.76184,126.7944,0,Fasn,ENSMUST00000206589
76,2598.0422,-54.65097,6,1810.0972,493.78247,0,Lcp1,ENSMUST00000131802
15,2495.6829,-95.81686,3,862.3246,112.61684,0,Akr1d1,ENSMUST00000040987
35,2427.2646,-31.564802,2,228.82376,707.5433,0,Cebpa,ENSMUST00000042985
47,2537.664,76.60636,3,1251.0396,1709.128,0,Fasn,ENSMUST00000206589
59,2423.3013,68.060524,1,192.12459,1630,0,Tkt,ENSMUST00000225857
2,2530.4946,94.00746,3,1184.6554,1870.2494,0,Pck1,ENSMUST00000029017
113,2534.9006,100.691536,2,1225.4523,1932.1389,0,Gca,ENSMUST00000028257
52,2428.0918,-9.661505,1,236.48079,910.35156,0,Gpi1,ENSMUST00000038027
76,2534.9521,33.962933,3,1225.9292,1314.2815,0,Lcp1,ENSMUST00000131802
9,2502.427,-55.833923,2,924.77057,482.8292,0,Serping1,ENSMUST00000023994
45,2531.891,100.83156,6,1197.5874,1933.4354,0,Egfr,ENSMUST00000102884
38,2524.121,26.048527,1,1125.6418,1241,0,Sdc1,ENSMUST00000171158
62,2502.0781,-19.556702,5,921.5414,818.7294,0,Cxadr,ENSMUST00000023572
45,2495.942,-69.822586,5,864.72345,353.3045,0,Egfr,ENSMUST00000102884
47,2554.1648,24.574503,5,1403.8246,1227.3517,0,Fasn,ENSMUST00000206589
98,2453.0994,-27.756044,6,468.0342,742.8096,0,Minpp1,ENSMUST00000025827
84,2577.3225,21.48368,4,1618.2485,1198.7329,0,Epas1,ENSMUST00000024954
