V1,barcode_id,global_x,global_y,global_z,x,y,fov,gene,transcript_id
608437,34,6662.496,1326.9462,6,573.78033,1174.5396,707,MEIS2,ENST00000340545
380604,22,6520.275,1381.2976,1,1108.9149,1677.7928,696,NCAM1,ENST00000316851
296985,17,6650.736,1228.3593,1,464.88803,261.69748,707,HHIP,ENST00000296575
830654,45,6611.32,1439.8582,0,99.926346,368.0199,706,CD74,ENST00000353334
384885,22,6588.3438,1258.5763,3,1739.1798,541.4849,696,NCAM1,ENST00000316851
660895,40,6593.358,1383.5657,0,1785.6104,1698.7933,696,NNAT,ENST00000346199
406466,22,6657.3555,1390.1487,3,526.1809,1759.7471,707,NCAM1,ENST00000316851
690857,38,6790.472,1499.12,6,1758.7422,916.73987,706,APOD,ENST00000343267
550931,31,6624.685,1458.4893,3,223.67653,540.52997,706,CNTN2,ENST00000331830
752333,40,6617.784,1450.7643,5,159.7816,469.00174,706,NNAT,ENST00000346199
838425,45,6639.16,1449.5093,4,357.7052,457.3815,706,CD74,ENST00000353334
315825,18,6717.971,1228.2671,1,1087.4398,260.84354,707,COL1A2,ENST00000297268
682713,38,6580.55,1422.0616,5,1667.0146,203.23659,697,APOD,ENST00000343267
473186,28,6512.745,1386.2457,2,1039.1934,1723.6094,696,IGDCC3,ENST00000327987
2599005,151,6692.1797,1439.196,6,848.6262,361.8884,706,Blank-12,Blank-12
24956,1,6639.3887,1302.5698,4,359.82254,948.83167,707,TLL1,ENST00000061240
595681,34,6688.8,1258.4436,3,817.3335,540.25635,707,MEIS2,ENST00000340545
741678,40,6796.371,1456.1152,3,1813.3655,518.5474,706,NNAT,ENST00000346199
302112,17,6659.993,1200.2549,1,550.60565,1853.4712,708,HHIP,ENST00000296575
701543,39,6621.5386,1302.3766,6,194.54277,947.043,707,SEMA6A,ENST00000343348
683561,39,6668.0396,1390.4286,1,625.1097,1762.3392,707,SEMA6A,ENST00000343348
719321,40,6705.084,1330.4926,3,968.1136,1207.3761,707,NNAT,ENST00000346199
608778,34,6529.051,1490.5692,1,1190.1722,837.56586,697,MEIS2,ENST00000340545
712996,40,6770.019,1241.5061,2,1569.3633,383.42758,707,NNAT,ENST00000346199
698963,39,6768.422,1372.0573,5,1554.5743,1592.2345,707,SEMA6A,ENST00000343348
849231,47,6690.8003,1395.625,4,835.85504,1810.4545,707,DLL3,ENST00000356433
692146,39,6684.928,1225.1068,4,781.4854,231.58202,707,SEMA6A,ENST00000343348
479824,28,6547.5513,1211.5264,6,1361.4714,105.837135,696,IGDCC3,ENST00000327987
692140,39,6750.793,1224.6775,4,1391.3439,227.60733,707,SEMA6A,ENST00000343348
387019,22,6607.948,1398.1554,3,1920.7051,1833.8842,696,NCAM1,ENST00000316851
813970,45,6547.2197,1468.5066,0,1358.4025,633.28296,697,CD74,ENST00000353334
708107,39,6559.7476,1429.5605,5,1474.4005,272.67105,697,SEMA6A,ENST00000343348
576109,32,6653.054,1458.1494,6,486.3553,537.3823,706,PTCH1,ENST00000331920
558661,32,6702.933,1276.1593,3,948.195,704.28986,707,PTCH1,ENST00000331920
323983,17,6500.7656,1466.8224,5,928.27313,617.6878,697,HHIP,ENST00000296575
411875,22,6649.3623,1301.2518,5,452.17203,936.629,707,NCAM1,ENST00000316851
732110,40,6713.2246,1294.3921,6,1043.4894,873.11224,707,NNAT,ENST00000346199
705259,40,6718.503,1281.4607,0,1092.3634,753.37744,707,NNAT,ENST00000346199
382921,22,6603.8027,1345.2957,2,1882.3206,1344.4418,696,NCAM1,ENST00000316851
679317,39,6786.9297,1375.4799,0,1725.9442,1623.925,707,SEMA6A,ENST00000343348
703524,39,6612.9053,1434.2701,2,114.60456,316.27826,706,SEMA6A,ENST00000343348
294493,17,6703.6562,1438.7297,3,954.894,357.57065,706,HHIP,ENST00000296575
720834,39,6688.0107,1417.7946,6,810.0252,163.72694,706,SEMA6A,ENST00000343348
806996,45,6734.475,1273.7323,0,1240.2504,681.8186,707,CD74,ENST00000353334
404858,22,6725.2925,1298.7607,3,1155.2272,913.5631,707,NCAM1,ENST00000316851
337813,18,6702.953,1331.1418,5,948.3811,1213.3881,707,COL1A2,ENST00000297268
543934,31,6646.7734,1212.4819,4,428.1986,114.68464,707,CNTN2,ENST00000331830
77545,4,6774.421,1477.5387,3,1610.1222,716.91327,706,CDKN1A,ENST00000244741
318935,18,6773.6504,1360.4685,1,1602.9866,1484.9308,707,COL1A2,ENST00000297268
651566,38,6618.718,1232.9307,0,168.42561,304.02475,707,APOD,ENST00000343267
321872,18,6680.7515,1486.1167,4,742.8116,796.3389,706,COL1A2,ENST00000297268
720511,40,6543.2417,1491.8484,1,1321.5688,849.4104,697,NNAT,ENST00000346199
316991,18,6792.48,1457.1959,3,1777.3339,528.5541,706,COL1A2,ENST00000297268
754148,44,6573.4224,1285.3868,6,1601.0215,789.73004,696,EZH2,ENST00000350995
468722,28,6605.651,1358.3503,0,1899.4332,1465.3185,696,IGDCC3,ENST00000327987
619911,38,6601.435,1295.5952,1,1860.3967,884.2523,696,APOD,ENST00000343267
834560,45,6644.109,1452.1193,2,403.52957,481.5486,706,CD74,ENST00000353334
811067,44,6562.3696,1456.1185,6,1498.6808,518.57874,697,EZH2,ENST00000350995
335688,18,6683.4067,1252.8011,5,767.39874,488.0108,707,COL1A2,ENST00000297268
859500,48,6620.2886,1306.3986,2,182.971,984.2834,707,SRC,ENST00000358208
712707,39,6537.6787,1477.9253,6,1270.0602,720.4928,697,SEMA6A,ENST00000343348
657770,38,6680.691,1238.406,2,742.2526,354.72314,707,APOD,ENST00000343267
366214,20,6707.527,1289.2883,2,990.73145,825.8556,707,ATOH1,ENST00000306011
634804,38,6559.2153,1343.5009,6,1469.4727,1327.8232,696,APOD,ENST00000343267
150489,8,6793.258,1254.7737,4,1784.535,506.27518,707,FCGR2A,ENST00000271450
566298,32,6624.0967,1291.9022,6,218.23009,850.05853,707,PTCH1,ENST00000331920
660728,40,6584.3867,1377.3374,0,1702.5438,1641.1246,696,NNAT,ENST00000346199
342825,18,6735.712,1313.504,6,1251.704,1050.0746,707,COL1A2,ENST00000297268
819685,45,6791.6484,1363.4595,5,1769.6345,1512.6249,707,CD74,ENST00000353334
249967,13,6783.752,1439.662,4,1696.5215,366.20346,706,RFTN2,ENST00000295049
308094,18,6776.676,1414.9437,1,1631,137.33029,706,COL1A2,ENST00000297268
689279,38,6784.0654,1425.5469,6,1699.4207,235.50806,706,APOD,ENST00000343267
604452,34,6778.628,1441.1473,3,1649.0763,379.9564,706,MEIS2,ENST00000340545
70358,4,6713.066,1358.2054,4,1042.0206,1463.9763,707,CDKN1A,ENST00000244741
313673,17,6544.9033,1445.4382,1,1336.9564,419.6872,697,HHIP,ENST00000296575
688037,39,6649.189,1216.8794,3,450.56723,155.40216,707,SEMA6A,ENST00000343348
815450,45,6753.0703,1214.6864,4,1412.4323,135.09729,707,CD74,ENST00000353334
128995,7,6775.858,1341.313,2,1623.426,1307.5651,707,CD44,ENST00000263398
405087,22,6754.4277,1314.133,3,1425,1055.8992,707,NCAM1,ENST00000316851
431824,22,6515.9976,1448.1212,4,1069.3093,444.52914,697,NCAM1,ENST00000316851
121597,6,6660.725,1244.4305,6,557.38,410.50586,707,PDGFRA,ENST00000257290
2791528,166,6715.028,1406.435,5,1060.1837,1910.5474,707,Blank-27,Blank-27
758121,40,6729.081,1461.84,6,1190.3097,571.55444,706,NNAT,ENST00000346199
855025,48,6728.86,1357.1774,0,1188.2617,1454.4575,707,SRC,ENST00000358208
661693,38,6615.192,1267.2056,3,135.77625,621.38525,707,APOD,ENST00000343267
742536,41,6767.293,1203.685,2,1544.1212,1885.2316,708,NPAS3,ENST00000346562
675571,38,6781.866,1382.366,6,1679.058,1687.6853,707,APOD,ENST00000343267
495717,26,6575.2563,1499.2811,4,1618,918.2318,697,CD19,ENST00000324662
766971,45,6602.9126,1238.7661,6,1874.079,358.05707,696,CD74,ENST00000353334
631757,38,6564.708,1350.9929,5,1520.3307,1397.1946,696,APOD,ENST00000343267
809126,45,6712.699,1269.9426,1,1038.6238,646.72864,707,CD74,ENST00000353334
263211,13,6673.039,1221.5513,6,671.4004,198.66019,707,RFTN2,ENST00000295049
806965,45,6721.2725,1272.4092,0,1118.0049,669.5666,707,CD74,ENST00000353334
683143,39,6744.381,1369.1555,1,1331.9713,1565.3668,707,SEMA6A,ENST00000343348
172330,9,6621.3804,1241.458,6,193.0808,382.98172,707,EGFR,ENST00000275493
698102,39,6545.9883,1480.6506,2,1347.0005,745.7277,697,SEMA6A,ENST00000343348
649448,37,6764.541,1386.72,5,1518.6417,1728,707,PPP1R17,ENST00000342032
406178,23,6595.49,1323.1674,5,1805.3507,1139.5496,696,TULP1,ENST00000322263
700324,39,6693.5767,1491.9565,1,861.56287,850.4123,706,SEMA6A,ENST00000343348
121845,6,6647.1704,1255.7009,6,431.87677,514.86084,707,PDGFRA,ENST00000257290
414901,22,6652.1553,1462.7004,6,478.0305,579.522,706,NCAM1,ENST00000316851
798403,44,6674.969,1389.9965,3,689.272,1758.3375,707,EZH2,ENST00000350995
811874,45,6767.1294,1294.0864,2,1542.6084,870.2819,707,CD74,ENST00000353334
732163,40,6709.608,1490.8124,1,1010,839.8177,706,NNAT,ENST00000346199
842062,47,6737.4316,1391.0347,0,1267.6271,1767.9514,707,DLL3,ENST00000356433
613520,34,6758.994,1415.5388,6,1467.2804,142.84064,706,MEIS2,ENST00000340545
847881,47,6710.071,1242.2972,4,1014.28625,390.75266,707,DLL3,ENST00000356433
747269,40,6762.1626,1463.6777,4,1496.6177,588.57086,706,NNAT,ENST00000346199
139408,8,6657.38,1279.5393,1,526.4063,735.58624,707,FCGR2A,ENST00000271450
670890,40,6579.495,1346.5203,3,1657.2512,1355.7809,696,NNAT,ENST00000346199
384827,22,6588.231,1252.0674,3,1738.1376,481.2166,696,NCAM1,ENST00000316851
548641,31,6689.867,1226.3813,6,827.21436,243.38332,707,CNTN2,ENST00000331830
723963,40,6747.1016,1332.5797,4,1357.1642,1226.7015,707,NNAT,ENST00000346199
400002,22,6758.3745,1456.3645,2,1461.543,520.8557,706,NCAM1,ENST00000316851
677049,40,6600.891,1269.5653,5,1855.3595,643.23535,696,NNAT,ENST00000346199
396993,22,6687.7446,1486.6803,1,807.5651,801.55743,706,NCAM1,ENST00000316851
703239,39,6722.558,1420.688,2,1129.909,190.51764,706,SEMA6A,ENST00000343348
325500,18,6690.5806,1244.2961,3,833.8224,409.26096,707,COL1A2,ENST00000297268
720656,40,6797.5356,1385.424,3,1824.1455,1716,707,NNAT,ENST00000346199
705408,40,6707.1895,1289.7119,0,987.6062,829.77734,707,NNAT,ENST00000346199
735715,40,6767.892,1427.1259,2,1549.6696,250.12721,706,NNAT,ENST00000346199
622558,38,6591.526,1293.6128,2,1768.6454,865.8972,696,APOD,ENST00000343267
668722,38,6776.46,1206.8706,2,1629,1914.7279,708,APOD,ENST00000343267
646068,39,6577.331,1277.6656,3,1637.21,718.2376,696,SEMA6A,ENST00000343348
410470,22,6648.9766,1425.885,5,448.59973,238.63869,706,NCAM1,ENST00000316851
730016,40,6756.4414,1397.7358,5,1443.6443,1829.9984,707,NNAT,ENST00000346199
221695,11,6712.793,1209.8085,4,1039.49,1941.9298,708,DRAXIN,ENST00000294485
678614,39,6757.729,1342.7681,0,1455.566,1321.0382,707,SEMA6A,ENST00000343348
317211,18,6775.3374,1464.3333,3,1618.6068,594.64014,706,COL1A2,ENST00000297268
679497,39,6797.193,1385.3397,0,1820.9736,1715.2202,707,SEMA6A,ENST00000343348
406058,22,6658.8936,1206.3446,1,540.4219,1909.8567,708,NCAM1,ENST00000316851
603759,34,6657.598,1274.0801,5,528.43097,685.0378,707,MEIS2,ENST00000340545
650821,39,6574.7163,1377.6031,4,1613,1643.5848,696,SEMA6A,ENST00000343348
268923,13,6548.021,1457.3835,4,1365.8208,530.2914,697,RFTN2,ENST00000295049
747750,40,6722.518,1478.1243,4,1129.5408,722.3347,706,NNAT,ENST00000346199
570501,34,6505.292,1375.206,4,970.18146,1621.3898,696,MEIS2,ENST00000340545
569080,34,6579.659,1277.1384,4,1658.7667,713.35614,696,MEIS2,ENST00000340545
547619,31,6708.517,1418.4398,2,999.9025,169.70119,706,CNTN2,ENST00000331830
678246,39,6765.902,1324.2954,0,1531.2406,1149.9951,707,SEMA6A,ENST00000343348
325278,18,6752.2417,1432.0514,5,1404.759,295.73404,706,COL1A2,ENST00000297268
2617739,153,6755.035,1461.3079,1,1430.6249,566.6283,706,Blank-14,Blank-14
312837,18,6602.931,1290.1575,4,1874.2493,833.90344,696,COL1A2,ENST00000297268
675870,38,6701.71,1400.1587,6,936.87335,1852.4323,707,APOD,ENST00000343267
253122,13,6557.372,1203.0448,5,1452.4081,1879.3036,695,RFTN2,ENST00000295049
714625,40,6661.44,1320.087,2,564,1111.029,707,NNAT,ENST00000346199
408176,22,6774.139,1499.7756,4,1607.5128,922.8111,706,NCAM1,ENST00000316851
542244,31,6732.03,1417.1674,0,1217.6107,157.9195,706,CNTN2,ENST00000331830
684392,39,6672.52,1207.5359,0,666.5948,1920.8875,708,SEMA6A,ENST00000343348
872393,47,6788.0347,1460.5674,3,1736.1765,559.7715,706,DLL3,ENST00000356433
712798,40,6763.4595,1232.4236,2,1508.6278,299.3303,707,NNAT,ENST00000346199
652857,38,6724.226,1321.1787,0,1145.3531,1121.1368,707,APOD,ENST00000343267
526595,32,6577.087,1223.9807,2,1634.9506,221.15538,696,PTCH1,ENST00000331920
819822,45,6682.5044,1379.6077,5,759.0417,1662.1456,707,CD74,ENST00000353334
721139,40,6755.337,1404.5884,3,1433.418,1893.4481,707,NNAT,ENST00000346199
136178,8,6589.974,1481.409,3,1754.2781,752.75006,697,FCGR2A,ENST00000271450
