cell,CD4,TLL1,EPHA8,CD69,CDKN1A,CCR7,PDGFRA,CD44,FCGR2A,EGFR,KHDRBS2,DRAXIN,LMX1A,RFTN2,IGFBP7,EOMES,CTLA4,HHIP,COL1A2,TRIM9,ATOH1,IGF1,NCAM1,TULP1,FOXJ1,CD37,CD19,RIT2,IGDCC3,VTCN1,KCNH8,CNTN2,PTCH1,OTX2,MEIS2,TNC,CDH5,PPP1R17,APOD,SEMA6A,NNAT,NPAS3,PTPRC,IL4,EZH2,CD74,C5AR1,DLL3,SRC,HLA-DRB1,Blank-1,Blank-2,Blank-3,Blank-4,Blank-5,Blank-6,Blank-7,Blank-8,Blank-9,Blank-10,Blank-11,Blank-12,Blank-13,Blank-14,Blank-15,Blank-16,Blank-17,Blank-18,Blank-19,Blank-20,Blank-21,Blank-22,Blank-23,Blank-24,Blank-25,Blank-26,Blank-27,Blank-28,Blank-29,Blank-30,Blank-31,Blank-32,Blank-33,Blank-34,Blank-35,Blank-36,Blank-37,Blank-38,Blank-39,Blank-40
112824700230101249,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,5,2,0,0,10,0,0,0,0,0,1,1,0,2,1,0,4,0,0,0,9,12,9,0,0,1,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101252,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,4,1,2,0,16,0,0,0,0,0,2,0,0,4,3,0,4,0,0,0,5,3,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101253,0,0,0,0,6,0,0,1,0,2,0,2,0,3,1,0,0,2,2,0,0,0,3,0,0,0,0,0,3,0,0,4,1,0,3,0,0,0,2,13,6,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
112824700230101254,0,0,0,0,5,0,10,0,1,1,0,3,0,4,1,0,0,8,27,0,4,0,19,1,0,1,0,0,0,0,1,1,11,0,2,0,0,0,1,9,7,1,1,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
112824700230101259,2,1,0,0,2,0,0,1,0,4,0,2,0,0,1,0,1,4,8,1,1,0,8,1,0,0,0,0,0,0,0,2,3,0,2,0,2,0,15,10,11,0,0,0,1,18,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101260,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,1,2,0,0,1,5,0,0,1,0,0,1,0,0,1,2,0,2,0,0,0,1,3,7,0,0,0,9,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101262,0,1,0,0,2,1,19,1,0,3,0,1,0,1,3,0,0,2,40,1,0,2,5,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,63,2,8,0,0,0,3,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
112824700230101265,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101266,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,5,0,0,0,0,7,0,0,0,0,0,1,0,0,3,5,0,1,0,0,0,0,4,1,0,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112824700230101267,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,0,12,0,0,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,28,0,1,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
